Username,Platform,Category / Niche,Followers Count,Engagement Rate %,Average Likes,Average Comments,Location,Influencer Tier,Engagement Score,Follower Tier Score,Influencer Score,Potential Category,Contact Available
jaggeryagency,instagram,language school,628,3.98,62.8,6.28,india,below threshold,3,0,44,medium potential,1
digitaljugaadin,instagram,social media agency,4114,10.53,411.4,41.14,"hisar, haryana",below threshold,5,0,60,medium potential,1
hastech.co,instagram,digital creator,344670,0.43,34467.0,3446.7,global,macro,1,3,52,medium potential,1
jubilant_tamilnadu,instagram,digital creator,3259,3.31,325.9,32.59,india,below threshold,3,0,44,medium potential,1
recruitment_123,instagram,consulting agency,15137,3.12,1513.7,151.37,"mumbai, maharashtra",micro,3,5,84,high potential,1
recruitment_123,instagram,consulting agency,15137,0.83,1513.7,151.37,"mumbai, maharashtra",micro,1,5,68,medium potential,1
kshineaservices,instagram,consulting agency,1497,6.55,149.7,14.97,india,below threshold,5,0,60,medium potential,1
KShine A Services,instagram,education,1497,1.14,149.7,14.97,global,below threshold,2,0,36,low potential,1
techpluskunal,instagram,digital creator,125971,0.98,12597.1,1259.71,global,mid,1,4,60,medium potential,1
ITESKUL,instagram,language school,909,6.71,90.9,9.09,global,below threshold,5,0,60,medium potential,1
leomarisreyes.dev,instagram,digital creator,1388,30.33,138.8,13.88,global,below threshold,5,0,60,medium potential,1
infolokerjambi_,instagram,media/news company,28980,12.79,2898.0,289.8,global,micro,5,5,100,high potential,1
lpk_fhci,instagram,media/news company,2363,0.59,236.3,23.63,india,below threshold,1,0,28,low potential,1
LPK FHCI Prima Unggul,instagram,real estate,2363,0.34,236.3,23.63,global,below threshold,1,0,28,low potential,1
mmjha89,instagram,digital creator,570,30.35,57.0,5.7,india,below threshold,5,0,60,medium potential,1
markteermedia,instagram,advertising/marketing,2017,7.64,201.7,20.17,india,below threshold,5,0,60,medium potential,1
martiancomichunter,instagram,digital creator,18074,69.45,1807.4,180.74,india,micro,5,5,100,high potential,1
markteermedia,instagram,digital creator,1252,8.87,125.2,12.52,india,below threshold,5,0,60,medium potential,1
mdigurgaon,instagram,college & university,12551,10.49,1255.1,125.51,india,micro,5,5,100,high potential,1
mikydiancona,instagram,blogger,13360,5.3,1336.0,133.6,global,micro,4,5,92,high potential,1
hellomurohan,instagram,tech,1675,22.75,167.5,16.75,india,below threshold,5,0,60,medium potential,1
_modigital_,instagram,advertising/marketing,559,43.47,55.9,5.59,india,below threshold,5,0,60,medium potential,1
modsbyben,instagram,computers (brand),60014,0.3,6001.4,600.14,global,mid,1,4,60,medium potential,1
mrleopardmediauk,instagram,marketing agency,1663,11.85,166.3,16.63,uk,below threshold,5,0,60,medium potential,1
mydough_sa,instagram,marketing agency,1826,5.75,182.6,18.26,randburg,below threshold,4,0,52,medium potential,1
nagoyauni_g30,instagram,marketing agency,2909,15.3,290.9,29.09,"nagoya-shi, aichi, japan",below threshold,5,0,60,medium potential,1
nammajobverse,instagram,digital creator,21042,2.67,2104.2,210.42,global,micro,3,5,84,high potential,1
nimratan_,instagram,entrepreneur,2588,13.1,258.8,25.88,india,below threshold,5,0,60,medium potential,1
nivervillechamber,instagram,entrepreneur,1441,18.95,144.1,14.41,global,below threshold,5,0,60,medium potential,1
nlcs_jeju,instagram,entrepreneur,9962,0.95,996.2,99.62,seogwipo,micro,1,5,68,medium potential,1
nonkululeko_s_maphanga,instagram,entrepreneur,1444,50.55,144.4,14.44,global,below threshold,5,0,60,medium potential,1
nextwise_taxco,instagram,business consultant,1111,22.23,111.1,11.11,global,below threshold,5,0,60,medium potential,1
nucampbootcamp,instagram,entrepreneur,11112,0.22,1111.2,111.12,"tacoma, washington",micro,1,5,68,medium potential,1
officialfuturefinders,instagram,education,747,14.46,74.7,7.47,global,below threshold,5,0,60,medium potential,1
opportunitiesforyouth,instagram,non-governmental organization (ngo),276923,3.18,27692.3,2769.23,global,macro,3,3,68,medium potential,1
pandacommercialbank,instagram,commercial bank,927,19.53,92.7,9.27,phnom penh,below threshold,5,0,60,medium potential,1
plussizemomshie,instagram,personal blog,1999,25.81,199.9,19.99,global,below threshold,5,0,60,medium potential,1
technoprabir,instagram,tech creator,2689,148.42,268.9,26.89,west bengal,below threshold,5,0,60,medium potential,1
PrideStaff,instagram,employment agency,5308,34.23,530.8,53.08,india,micro,5,5,100,high potential,1
codehub.py,instagram,computers (brand),111537,0.45,11153.7,1115.37,global,mid,1,4,60,medium potential,1
project_maker___,instagram,education,15301,0.34,1530.1,153.01,india,micro,1,5,68,medium potential,1
ramjan_khan_3666,instagram,digital creator,934,353.64,93.4,9.34,global,below threshold,5,0,60,medium potential,1
webbitech.maestro,instagram,social media agency,3003,25.94,300.3,30.03,india,below threshold,5,0,60,medium potential,1
raven_pcgamer,instagram,digital creator,1629,91.22,162.9,16.29,global,below threshold,5,0,60,medium potential,1
kikanravi,instagram,digital creator,2014,13.6,201.4,20.14,india,below threshold,5,0,60,medium potential,1
raystrazdas,instagram,digital creator,18119,5.24,1811.9,181.19,nyc,micro,4,5,92,high potential,1
techwithbecca,instagram,digital creator,4477,7.59,447.7,44.77,global,below threshold,5,0,60,medium potential,1
rvcesivakasi,instagram,college & university,1017,6.88,101.7,10.17,india,below threshold,5,0,60,medium potential,1
Rishi R,linkedin,tech creator,2124,61.96,212.4,21.24,andhra pradesh,below threshold,5,0,60,medium potential,1
founders.talk1,instagram,tech creator,19113,3.14,1911.3,191.13,india,micro,3,5,84,high potential,1
sadaka_arastu,instagram,cars,29550,1.28,2955.0,295.5,global,micro,2,5,76,high potential,1
genzeditzone,instagram,information technology company,51364,2.66,5136.4,513.64,global,mid,3,4,76,high potential,1
sdadtechnology,instagram,information technology company,7625,8.42,762.5,76.25,india,micro,5,5,100,high potential,1
seoenterindia,instagram,marketing agency,1341,80.39,134.1,13.41,"ahmedabad, india",below threshold,5,0,60,medium potential,1
sevenstardigitalindonesia,instagram,advertising/marketing,926,18.36,92.6,9.26,india,below threshold,5,0,60,medium potential,1
techxstreet,instagram,digital creator,409203,0.09,40920.3,4092.03,global,macro,1,3,52,medium potential,1
sievesoftechpvtltd,instagram,internet marketing service,3279,10.25,327.9,32.79,india,below threshold,5,0,60,medium potential,1
socialpost_entrepreneurship,instagram,digital creator,144756,4.7,14475.6,1447.56,india,mid,4,4,84,high potential,1
staffbdmarketingagency,instagram,digital creator,1207,49.21,120.7,12.07,india,below threshold,5,0,60,medium potential,1
staffkingpteltd,instagram,entrepreneur,1238,74.23,123.8,12.38,singapore,below threshold,5,0,60,medium potential,1
staffkingpteltd,instagram,entrepreneur,1238,60.74,123.8,12.38,singapore,below threshold,5,0,60,medium potential,1
startupsuperb,instagram,news & media website,2561,23.82,256.1,25.61,india,below threshold,5,0,60,medium potential,1
startup_flash,instagram,community,42156,1.69,4215.6,421.56,india,micro,2,5,76,high potential,1
ttconstructiongroup,instagram,construction company,662,79.46,66.2,6.62,"casselberry, florida",below threshold,5,0,60,medium potential,1
tagoncs,instagram,education,1430,49.02,143.0,14.3,"kochi, india",below threshold,5,0,60,medium potential,1
Tag On Career Solutions,instagram,education,1430,21.05,143.0,14.3,"kochi, india",below threshold,5,0,60,medium potential,1
desii_chai,instagram,education,20524,9.82,2052.4,205.24,india,micro,5,5,100,high potential,1
the_web_it_shop,instagram,web designer,1982,17.61,198.2,19.82,"delhi, india",below threshold,5,0,60,medium potential,1
theunbox360,instagram,digital creator,2205,9.84,220.5,22.05,global,below threshold,5,0,60,medium potential,1
think_seo,instagram,internet company,1867,3.86,186.7,18.67,india,below threshold,3,0,44,medium potential,1
thinkbizzmarcom,instagram,social media agency,3922,15.53,392.2,39.22,india,below threshold,5,0,60,medium potential,1
tierajasthan,instagram,nonprofit organization,2890,6.99,289.0,28.9,india,below threshold,5,0,60,medium potential,1
codewithdrealola,instagram,digital creator,31733,0.94,3173.3,317.33,global,micro,1,5,68,medium potential,1
trackpi_official,instagram,business consultant,4608,1.95,460.8,46.08,india,below threshold,2,0,36,low potential,1
ujobs_india,instagram,employment agency,924,52.38,92.4,9.24,india,below threshold,5,0,60,medium potential,1
uprampofficial,instagram,government organization,19424,0.2,1942.4,194.24,"kanpur, uttar pradesh",micro,1,5,68,medium potential,1
valueimsagency,instagram,marketing agency,3790,2.66,379.0,37.9,india,below threshold,3,0,44,medium potential,1
vanetra_mi,instagram,education,13718,9.0,1371.8,137.18,india,micro,5,5,100,high potential,1
Vanetra Muthayammal,instagram,education,13718,9.85,1371.8,137.18,global,micro,5,5,100,high potential,1
codecrookshanks,instagram,education,293570,15.22,29357.0,2935.7,global,macro,5,3,84,high potential,1
veena_a_parmar,instagram,real estate,1182,33.59,118.2,11.82,global,below threshold,5,0,60,medium potential,1
vics.vibes,instagram,brand,20453,6.17,2045.3,204.53,global,micro,5,5,100,high potential,1
wizard_aitools,instagram,digital creator,27450,38.07,2745.0,274.5,global,micro,5,5,100,high potential,1
yourtechsolutions01,instagram,education,1061,44.39,106.1,10.61,"vancouver, british columbia",below threshold,5,0,60,medium potential,1
zqdevelopers,instagram,marketing agency,1120,30.8,112.0,11.2,khanewal,below threshold,5,0,60,medium potential,1
amchmastchallay,instagram,digital creator,1413,77.92,141.3,14.13,india,below threshold,5,0,60,medium potential,1
kevtech.fr,instagram,digital creator,15085,51.61,1508.5,150.85,india,micro,5,5,100,high potential,1
Ashish Misal,linkedin,tech creator,115957,1.32,11595.7,1159.57,india,mid,2,4,68,medium potential,1
TechCreator,linkedin,tech creator,2180,1.24,218.0,21.8,florida,below threshold,2,0,36,low potential,1
Sandeep It,linkedin,entrepreneur,1099,5.46,109.9,10.99,tamil nadu,below threshold,4,0,52,medium potential,1
Chris Essey,linkedin,digital marketing,22856,1.45,2285.6,228.56,greater pittsburgh region,micro,2,5,76,high potential,1
ankitbrands,instagram,personal branding,52400,3.63,1850.0,48.0,india,mid,3,4,76,high potential,1
buildwithriya,instagram,content strategy,38200,3.22,1200.0,32.0,india,micro,3,5,84,high potential,1
mohitcreates,instagram,brand growth,74900,3.56,2600.0,65.0,india,mid,3,4,76,high potential,1
sneha.branding,instagram,instagram growth,29100,3.24,920.0,21.0,india,micro,3,5,84,high potential,1
rahul.personalbrand,linkedin,linkedin branding,91000,1.59,1400.0,55.0,india,mid,2,4,68,medium potential,1
pooja.builds,instagram,creator economy,46700,3.52,1600.0,40.0,india,micro,3,5,84,high potential,1
arjunbranding,instagram,brand deals,67300,3.21,2100.0,58.0,india,mid,3,4,76,high potential,1
neha.creates,instagram,design branding,24800,3.22,780.0,18.0,india,micro,3,5,84,high potential,1
kunalbrandlab,instagram,brand strategy,83600,3.55,2900.0,72.0,india,mid,3,4,76,high potential,1
aditi.personalbrand,instagram,reels branding,41500,3.32,1350.0,29.0,india,micro,3,5,84,high potential,1
rohitbuildsonline,instagram,online branding,58200,3.61,2050.0,55.0,india,mid,3,4,76,high potential,1
ishacreates,instagram,content creation,33400,3.14,1020.0,30.0,india,micro,3,5,84,high potential,1
ayushbranding,instagram,brand consulting,78900,3.44,2650.0,62.0,india,mid,3,4,76,high potential,1
nidhi.builds,instagram,personal brand,26800,3.28,850.0,21.0,india,micro,3,5,84,high potential,1
vikram.personalbrand,linkedin,linkedin growth,102000,1.41,1300.0,45.0,india,mid,2,4,68,medium potential,1
simrancreates,instagram,content branding,35600,3.19,1100.0,33.0,india,micro,3,5,84,high potential,1
kartikbrand,instagram,brand education,61200,3.42,2000.0,49.0,india,mid,3,4,76,high potential,1
shreya.personalbrand,instagram,personal growth,48700,3.3,1550.0,34.0,india,micro,3,5,84,high potential,1
varunbranding,instagram,brand strategy,84500,3.52,2950.0,75.0,india,mid,3,4,76,high potential,1
priya.creates,instagram,content design,27900,3.09,850.0,26.0,india,micro,3,5,84,high potential,1
sachinbuilds,instagram,brand funnels,56300,3.49,1900.0,45.0,india,mid,3,4,76,high potential,1
ritu.personalbrand,instagram,personal branding,31800,3.18,980.0,28.0,india,micro,3,5,84,high potential,1
amanbranding,instagram,brand deals,72400,3.46,2400.0,58.0,india,mid,3,4,76,high potential,1
pallavi.builds,instagram,creator growth,29600,3.21,910.0,22.0,india,micro,3,5,84,high potential,1
naveenpersonalbrand,linkedin,linkedin branding,88000,1.53,1200.0,40.0,india,mid,2,4,68,medium potential,1
tanya.creates,instagram,content branding,34700,3.27,1080.0,30.0,india,micro,3,5,84,high potential,1
harshbranding,instagram,brand marketing,65900,3.38,2200.0,55.0,india,mid,3,4,76,high potential,1
megha.personalbrand,instagram,personal growth,41200,3.14,1250.0,35.0,india,micro,3,5,84,high potential,1
rajatbuilds,instagram,brand systems,59800,3.47,2050.0,52.0,india,mid,3,4,76,high potential,1
alisha.creates,instagram,creator branding,33100,3.12,1000.0,28.0,india,micro,3,5,84,high potential,1
rohitbuildssaas,linkedin,saas growth,68400,1.72,980.0,45.0,content strategy,mid,2,4,68,medium potential,1
amitfounder,instagram,startup journey,45200,2.95,1250.0,38.0,india,micro,3,5,84,high potential,1
neerajsaas,linkedin,saas leadership,91800,1.41,1100.0,52.0,global,mid,2,4,68,medium potential,1
priyanshutech,instagram,bootstrapped saas,33700,3.12,980.0,34.0,india,micro,3,5,84,high potential,1
kunalbuilds,linkedin,saas scaling,104500,1.28,1350.0,60.0,global,mid,2,4,68,medium potential,1
ritikafounder,instagram,saas marketing,28900,3.06,860.0,26.0,india,micro,3,5,84,high potential,1
adityasaas,linkedin,saas ops,77600,1.65,1020.0,42.0,global,mid,2,4,68,medium potential,1
sachinbuildsapp,instagram,app founder,41800,2.88,1180.0,35.0,india,micro,3,5,84,high potential,1
vikassaas,linkedin,saas sales,56300,1.74,940.0,38.0,global,mid,2,4,68,medium potential,1
ananyafounder,instagram,startup building,36400,3.01,1050.0,33.0,india,micro,3,5,84,high potential,1
rahulsaasbuilds,linkedin,saas architecture,89200,1.36,1150.0,48.0,global,mid,2,4,68,medium potential,1
nikhiltechfounder,instagram,no-code saas,47200,2.91,1320.0,41.0,india,micro,3,5,84,high potential,1
sumitbuilds,linkedin,saas funnels,65400,1.68,990.0,36.0,global,mid,2,4,68,medium potential,1
poojafounder,instagram,product saas,31200,3.08,920.0,29.0,india,micro,3,5,84,high potential,1
arvindsaas,linkedin,saas strategy,118000,1.22,1400.0,65.0,global,mid,2,4,68,medium potential,1
deepakbuildsapp,instagram,app monetization,39900,2.97,1140.0,34.0,india,micro,3,5,84,high potential,1
manishsaas,linkedin,saas hiring,73200,1.59,1010.0,39.0,global,mid,2,4,68,medium potential,1
sonalfounder,instagram,women in saas,28400,3.04,850.0,27.0,india,micro,3,5,84,high potential,1
tarunbuildssaas,linkedin,saas metrics,84700,1.44,1080.0,44.0,global,mid,2,4,68,medium potential,1
rakeshtechfounder,instagram,saas mvp,35600,2.99,1040.0,31.0,india,micro,3,5,84,high potential,1
abhisaas,linkedin,saas finance,68100,1.63,970.0,37.0,global,mid,2,4,68,medium potential,1
mehulbuilds,instagram,startup saas,43800,2.92,1220.0,36.0,india,micro,3,5,84,high potential,1
sureshsaas,linkedin,saas leadership,97500,1.31,1180.0,50.0,global,mid,2,4,68,medium potential,1
ishitafounder,instagram,product marketing,30100,3.02,900.0,28.0,india,micro,3,5,84,high potential,1
ajaysaasbuilds,linkedin,saas automation,70900,1.57,1000.0,40.0,global,mid,2,4,68,medium potential,1
nainafounder,instagram,early saas,26700,3.1,830.0,25.0,india,micro,3,5,84,high potential,1
harshitsaas,linkedin,saas infrastructure,62400,1.66,960.0,38.0,global,mid,2,4,68,medium potential,1
riyabuildssaas,instagram,saas content,38900,2.98,1120.0,32.0,india,micro,3,5,84,high potential,1
sandeepsaas,linkedin,saas partnerships,85200,1.43,1090.0,46.0,global,mid,2,4,68,medium potential,1
ayeshasaas,instagram,saas storytelling,34400,3.05,980.0,30.0,india,micro,3,5,84,high potential,1
ayushgrowth,instagram,growth marketing,68400,3.48,2300.0,78.0,india,mid,3,4,76,high potential,1
ritikagrowth,instagram,content marketing,43200,3.21,1350.0,34.0,india,micro,3,5,84,high potential,1
karanbuildsgrowth,linkedin,b2b growth,91200,1.62,1450.0,62.0,global,mid,2,4,68,medium potential,1
pallavgrowth,instagram,instagram growth,35800,3.09,1050.0,29.0,india,micro,3,5,84,high potential,1
nehamarketing,instagram,performance marketing,77400,3.54,2700.0,85.0,india,mid,3,4,76,high potential,1
rahulgrowth,linkedin,growth strategy,103500,1.44,1380.0,58.0,global,mid,2,4,68,medium potential,1
sonalbuildsgrowth,instagram,creator growth,29700,3.12,920.0,24.0,india,micro,3,5,84,high potential,1
adarshgrowth,instagram,marketing funnels,56900,3.36,1900.0,56.0,india,mid,3,4,76,high potential,1
priyanandamarketing,linkedin,brand marketing,64800,1.71,1020.0,41.0,global,mid,2,4,68,medium potential,1
rohitgrowthhacks,instagram,growth hacking,82500,3.61,2950.0,92.0,india,mid,3,4,76,high potential,1
amangrowth,instagram,marketing systems,41200,3.18,1280.0,33.0,india,micro,3,5,84,high potential,1
nidhimarketing,instagram,content growth,28400,3.05,860.0,22.0,india,micro,3,5,84,high potential,1
saurabhgrowth,linkedin,growth ops,95800,1.52,1500.0,64.0,global,mid,2,4,68,medium potential,1
ishagrowth,instagram,personal brand growth,36100,3.14,1120.0,28.0,india,micro,3,5,84,high potential,1
vivekgrowth,linkedin,b2b demand gen,110400,1.39,1420.0,59.0,global,mid,2,4,68,medium potential,1
tanyagrowth,instagram,marketing reels,39600,3.27,1250.0,31.0,india,micro,3,5,84,high potential,1
arpitbuildsgrowth,instagram,growth playbooks,54300,3.41,1850.0,54.0,india,mid,3,4,76,high potential,1
meghagrowth,linkedin,marketing leadership,60200,1.69,980.0,38.0,global,mid,2,4,68,medium potential,1
rajeevgrowth,instagram,marketing case studies,78100,3.58,2750.0,88.0,india,mid,3,4,76,high potential,1
shalinigrowth,instagram,marketing basics,26500,3.02,820.0,21.0,india,micro,3,5,84,high potential,1
kunalgrowth,linkedin,growth analytics,88700,1.55,1320.0,52.0,global,mid,2,4,68,medium potential,1
aditigrowth,instagram,brand growth,43800,3.23,1400.0,36.0,india,micro,3,5,84,high potential,1
rohangrowth,instagram,marketing automation,61200,3.45,2050.0,61.0,india,mid,3,4,76,high potential,1
poojamarketing,instagram,content strategy,28900,3.07,880.0,24.0,india,micro,3,5,84,high potential,1
abhinavgrowth,linkedin,b2b growth,101300,1.47,1480.0,60.0,global,mid,2,4,68,medium potential,1
shrutigrowth,instagram,marketing reels,34700,3.16,1080.0,27.0,india,micro,3,5,84,high potential,1
mohitgrowth,linkedin,growth engineering,72800,1.63,1100.0,44.0,global,mid,2,4,68,medium potential,1
rashmigrowth,instagram,community growth,41400,3.29,1320.0,35.0,india,micro,3,5,84,high potential,1
nikhilgrowthhacks,instagram,growth hacking,85400,3.62,3050.0,95.0,india,mid,3,4,76,high potential,1
deepamarketing,linkedin,marketing leadership,56900,1.74,990.0,40.0,global,mid,2,4,68,medium potential,1
rohanbuildsai,instagram,ai tools,68400,3.52,2350.0,78.0,india,mid,3,4,76,high potential,1
ananya.ai,instagram,ai reels,43200,3.28,1420.0,36.0,india,micro,3,5,84,high potential,1
kunalautomation,linkedin,ai workflows,91200,1.58,1480.0,64.0,global,mid,2,4,68,medium potential,1
priyabuildsai,instagram,ai education,35800,3.11,1080.0,29.0,india,micro,3,5,84,high potential,1
arjun.ai,instagram,ai use cases,77400,3.6,2800.0,88.0,india,mid,3,4,76,high potential,1
nikhilautomation,linkedin,enterprise ai,103500,1.46,1520.0,61.0,global,mid,2,4,68,medium potential,1
simranbuildsai,instagram,ai basics,29700,3.15,940.0,25.0,india,micro,3,5,84,high potential,1
ayushautomates,instagram,automation tips,56900,3.39,1920.0,55.0,india,mid,3,4,76,high potential,1
ritika.ai,linkedin,ai strategy,64800,1.69,1040.0,43.0,global,mid,2,4,68,medium potential,1
vikasbuildsai,instagram,ai hacks,82500,3.66,2980.0,94.0,india,mid,3,4,76,high potential,1
amanautomation,instagram,ai systems,41200,3.21,1300.0,34.0,india,micro,3,5,84,high potential,1
neha.ai,instagram,ai content,28400,3.07,880.0,22.0,india,micro,3,5,84,high potential,1
saurabhautomation,linkedin,ai ops,95800,1.54,1560.0,66.0,global,mid,2,4,68,medium potential,1
ishabuildsai,instagram,ai tutorials,36100,3.18,1140.0,29.0,india,micro,3,5,84,high potential,1
deepakai,linkedin,ml leadership,110400,1.41,1460.0,60.0,global,mid,2,4,68,medium potential,1
tanyaautomates,instagram,automation reels,39600,3.31,1280.0,32.0,india,micro,3,5,84,high potential,1
kartik.ai,instagram,ai explainers,54300,3.44,1880.0,56.0,india,mid,3,4,76,high potential,1
meghaautomation,linkedin,ai leadership,60200,1.72,1010.0,39.0,global,mid,2,4,68,medium potential,1
rajbuildsai,instagram,ai case studies,78100,3.59,2760.0,90.0,india,mid,3,4,76,high potential,1
pallaviai,instagram,ai basics,26500,3.05,840.0,21.0,india,micro,3,5,84,high potential,1
kunalautomates,linkedin,ai analytics,88700,1.57,1340.0,53.0,global,mid,2,4,68,medium potential,1
aditi.ai,instagram,ai branding,43800,3.26,1420.0,37.0,india,micro,3,5,84,high potential,1
rohitautomation,instagram,automation systems,61200,3.48,2100.0,63.0,india,mid,3,4,76,high potential,1
pooja.ai,instagram,ai design,28900,3.1,900.0,25.0,india,micro,3,5,84,high potential,1
abhishekbots,linkedin,ai bots,101300,1.49,1500.0,62.0,global,mid,2,4,68,medium potential,1
shrutiautomates,instagram,automation reels,34700,3.19,1100.0,28.0,india,micro,3,5,84,high potential,1
mohitai,linkedin,ai engineering,72800,1.66,1120.0,45.0,global,mid,2,4,68,medium potential,1
rashmi.ai,instagram,ai community,41400,3.33,1350.0,36.0,india,micro,3,5,84,high potential,1
nikhilautomates,instagram,automation hacks,85400,3.65,3100.0,98.0,india,mid,3,4,76,high potential,1
deepabai,linkedin,ai leadership,56900,1.76,1020.0,41.0,global,mid,2,4,68,medium potential,1
arvindsaas,linkedin,saas strategy,112989,1.12,1184.0,79.0,global,mid,2,4,68,medium potential,1
aditi.personalbrand,instagram,reels branding,35481,3.89,1356.0,24.0,india,micro,3,5,84,high potential,1
ishagrowth,instagram,personal brand growth,40186,3.13,1227.0,31.0,india,micro,3,5,84,high potential,1
ayushautomates,instagram,automation tips,64298,3.07,1920.0,56.0,india,mid,3,4,76,high potential,1
rahulgrowth,linkedin,growth strategy,113493,1.35,1493.0,43.0,global,mid,2,4,68,medium potential,1
meghaautomation,linkedin,ai leadership,57973,1.98,1110.0,36.0,global,mid,2,4,68,medium potential,1
ritikafounder,instagram,saas marketing,24840,3.63,876.0,26.0,india,micro,3,5,84,high potential,1
amitfounder,instagram,startup journey,51545,2.69,1355.0,31.0,india,mid,3,4,76,high potential,1
nikhilautomation,linkedin,enterprise ai,104737,1.5,1511.0,57.0,global,mid,2,4,68,medium potential,1
shrutigrowth,instagram,marketing reels,35058,3.13,1071.0,26.0,india,micro,3,5,84,high potential,1
ananyafounder,instagram,startup building,40768,3.04,1207.0,34.0,india,micro,3,5,84,high potential,1
megha.personalbrand,instagram,personal growth,42389,2.69,1115.0,27.0,india,micro,3,5,84,high potential,1
mehulbuilds,instagram,startup saas,48558,2.9,1371.0,39.0,india,micro,3,5,84,high potential,1
vikasbuildsai,instagram,ai hacks,84836,3.43,2841.0,69.0,india,mid,3,4,76,high potential,1
nikhilgrowthhacks,instagram,growth hacking,92466,3.96,3588.0,70.0,india,mid,3,4,76,high potential,1
harshbranding,instagram,brand marketing,68520,3.13,2088.0,55.0,india,mid,3,4,76,high potential,1
ishitafounder,instagram,product marketing,33051,2.99,960.0,29.0,india,micro,3,5,84,high potential,1
kunalautomates,linkedin,ai analytics,101018,1.38,1331.0,62.0,global,mid,2,4,68,medium potential,1
rajatbuilds,instagram,brand systems,62221,3.69,2258.0,41.0,india,mid,3,4,76,high potential,1
rajeevgrowth,instagram,marketing case studies,75439,3.83,2820.0,71.0,india,mid,3,4,76,high potential,1
ayushgrowth,instagram,growth marketing,65388,3.34,2112.0,70.0,india,mid,3,4,76,high potential,1
abhinavgrowth,linkedin,b2b growth,94550,1.45,1298.0,73.0,global,mid,2,4,68,medium potential,1
amanbranding,instagram,brand deals,71568,3.4,2381.0,55.0,india,mid,3,4,76,high potential,1
kunalbrandlab,instagram,brand strategy,83531,3.35,2714.0,88.0,india,mid,3,4,76,high potential,1
kunalgrowth,linkedin,growth analytics,81896,1.41,1115.0,39.0,global,mid,2,4,68,medium potential,1
ajaysaasbuilds,linkedin,saas automation,67292,1.47,936.0,51.0,global,mid,2,4,68,medium potential,1
ayushautomates,instagram,automation tips,53054,3.56,1839.0,52.0,india,mid,3,4,76,high potential,1
rashmi.ai,instagram,ai community,36447,4.32,1537.0,36.0,india,micro,4,5,92,high potential,1
nikhilautomates,instagram,automation hacks,80338,3.97,3089.0,99.0,india,mid,3,4,76,high potential,1
ayushautomates,instagram,automation tips,53358,3.18,1652.0,47.0,india,mid,3,4,76,high potential,1
shrutiautomates,instagram,automation reels,31431,3.65,1122.0,26.0,india,micro,3,5,84,high potential,1
rohangrowth,instagram,marketing automation,62325,3.73,2277.0,50.0,india,mid,3,4,76,high potential,1
meghagrowth,linkedin,marketing leadership,51696,1.96,972.0,41.0,global,mid,2,4,68,medium potential,1
ritikafounder,instagram,saas marketing,30313,3.21,943.0,31.0,india,micro,3,5,84,high potential,1
pallavgrowth,instagram,instagram growth,37141,3.0,1080.0,34.0,india,micro,3,5,84,high potential,1
abhishekbots,linkedin,ai bots,109575,1.49,1575.0,57.0,global,mid,2,4,68,medium potential,1
rahulgrowth,linkedin,growth strategy,100667,1.65,1614.0,44.0,global,mid,2,4,68,medium potential,1
rakeshtechfounder,instagram,saas mvp,34949,3.63,1239.0,31.0,india,micro,3,5,84,high potential,1
pallavi.builds,instagram,creator growth,32730,2.9,925.0,25.0,india,micro,3,5,84,high potential,1
alisha.creates,instagram,creator branding,32254,3.06,960.0,26.0,india,micro,3,5,84,high potential,1
pooja.builds,instagram,creator economy,48367,3.99,1882.0,46.0,india,micro,3,5,84,high potential,1
nidhi.builds,instagram,personal brand,27963,2.79,758.0,21.0,india,micro,3,5,84,high potential,1
rahul.personalbrand,linkedin,linkedin branding,78865,1.9,1438.0,60.0,india,mid,2,4,68,medium potential,1
arjunbranding,instagram,brand deals,70503,3.59,2462.0,69.0,india,mid,3,4,76,high potential,1
mohitgrowth,linkedin,growth engineering,70036,1.46,992.0,33.0,global,mid,2,4,68,medium potential,1
deepakbuildsapp,instagram,app monetization,36713,2.62,922.0,40.0,india,micro,3,5,84,high potential,1
rohitbuildssaas,linkedin,saas growth,71229,1.72,1170.0,52.0,content strategy,mid,2,4,68,medium potential,1
kartik.ai,instagram,ai explainers,60027,3.85,2249.0,63.0,india,mid,3,4,76,high potential,1
poojamarketing,instagram,content strategy,25501,3.52,872.0,25.0,india,micro,3,5,84,high potential,1
pooja.ai,instagram,ai design,29470,3.63,1046.0,23.0,india,micro,3,5,84,high potential,1
nainafounder,instagram,early saas,23264,3.78,854.0,25.0,india,micro,3,5,84,high potential,1
ananyafounder,instagram,startup building,40545,3.11,1220.0,42.0,india,micro,3,5,84,high potential,1
shrutiautomates,instagram,automation reels,39204,2.32,888.0,22.0,india,micro,3,5,84,high potential,1
sumitbuilds,linkedin,saas funnels,71349,1.71,1182.0,38.0,global,mid,2,4,68,medium potential,1
pallavgrowth,instagram,instagram growth,38300,3.24,1208.0,32.0,india,micro,3,5,84,high potential,1
aditi.personalbrand,instagram,reels branding,46594,3.34,1522.0,35.0,india,micro,3,5,84,high potential,1
pallavi.builds,instagram,creator growth,29456,2.69,772.0,19.0,india,micro,3,5,84,high potential,1
rahulsaasbuilds,linkedin,saas architecture,93570,1.45,1305.0,49.0,global,mid,2,4,68,medium potential,1
pallavi.builds,instagram,creator growth,27716,3.67,991.0,26.0,india,micro,3,5,84,high potential,1
